PRN Index,PRN VRAM,PRN Type,GPU Index
192,88,2,0
207,67,2,0
198,76,2,0
182,113,2,0
206,67,2,0
231,124,3,1
252,101,3,1
284,57,3,1
265,85,3,1
286,51,3,1
391,127,5,2
400,117,5,2
397,121,5,2
445,67,5,2
447,60,5,2
341,89,4,3
327,104,4,3
337,92,4,3
376,49,4,3
358,75,4,3
367,62,4,3
389,129,5,4
437,73,5,4
439,71,5,4
417,97,5,4
443,68,5,4
450,55,5,4
185,108,2,5
196,82,2,5
177,126,2,5
172,136,2,5
218,43,2,5
319,113,4,6
320,113,4,6
374,53,4,6
346,85,4,6
375,50,4,6
348,84,4,6
272,72,3,7
274,68,3,7
273,69,3,7
268,78,3,7
229,127,3,7
266,82,3,7
147,69,1,8
127,93,1,8
109,115,1,8
140,76,1,8
91,135,1,8
276,68,3,9
223,137,3,9
254,99,3,9
264,86,3,9
279,65,3,9
292,41,3,9
490,91,6,10
491,90,6,10
492,90,6,10
493,86,6,10
494,86,6,10
520,56,6,10
90,135,1,11
117,108,1,11
102,124,1,11
97,129,1,11
260,94,3,12
269,76,3,12
285,56,3,12
281,63,3,12
225,134,3,12
278,67,3,12
55,76,0,13
51,80,0,13
10,130,0,13
43,90,0,13
16,122,0,13
99,127,1,14
157,56,1,14
123,99,1,14
149,67,1,14
98,127,1,14
201,74,2,15
173,132,2,15
188,102,2,15
175,131,2,15
221,40,2,15
462,140,6,16
463,139,6,16
464,137,6,16
496,84,6,16
239,114,3,17
234,122,3,17
226,132,3,17
251,102,3,17
244,109,3,18
232,123,3,18
293,40,3,18
291,41,3,18
275,68,3,18
333,96,4,19
332,97,4,19
354,79,4,19
355,78,4,19
336,92,4,19
372,57,4,19
314,119,4,20
299,135,4,20
326,105,4,20
345,86,4,20
476,117,6,21
477,116,6,21
478,112,6,21
479,112,6,21
71,51,0,22
24,112,0,22
58,73,0,22
86,40,0,22
66,55,0,22
72,50,0,22
63,65,0,22
75,48,0,22
306,130,4,23
307,129,4,23
308,127,4,23
325,107,4,23
0,140,0,24
17,120,0,24
11,129,0,24
73,50,0,24
80,43,0,24
195,84,2,25
190,90,2,25
197,79,2,25
176,128,2,25
199,75,2,25
220,41,2,25
247,106,3,26
277,67,3,26
228,127,3,26
280,64,3,26
255,98,3,26
318,114,4,27
328,102,4,27
371,58,4,27
370,58,4,27
373,53,4,27
378,45,4,27
366,62,4,27
401,117,5,28
402,115,5,28
403,114,5,28
404,113,5,28
237,119,3,29
235,121,3,29
248,105,3,29
283,59,3,29
258,96,3,29
34,100,0,30
49,81,0,30
23,114,0,30
31,103,0,30
33,100,0,30
70,53,0,31
1,138,0,31
40,96,0,31
52,80,0,31
9,132,0,31
118,107,1,32
94,133,1,32
92,135,1,32
105,121,1,32
103,123,1,33
141,76,1,33
143,75,1,33
121,100,1,33
144,74,1,33
164,49,1,33
193,87,2,34
178,123,2,34
174,131,2,34
211,53,2,34
214,50,2,34
216,46,2,34
217,45,2,35
183,112,2,35
186,106,2,35
168,140,2,35
194,86,2,35
322,110,4,36
340,89,4,36
342,89,4,36
363,63,4,36
357,76,4,36
365,63,4,36
465,137,6,37
466,135,6,37
467,128,6,37
485,98,6,37
414,106,5,38
390,127,5,38
448,59,5,38
433,78,5,38
460,44,5,38
430,82,5,38
516,60,6,39
517,58,6,39
518,58,6,39
519,58,6,39
522,56,6,39
523,54,6,39
524,52,6,39
525,51,6,39
526,51,6,39
212,52,2,40
187,103,2,40
208,63,2,40
209,59,2,40
184,111,2,40
191,89,2,40
484,102,6,41
486,94,6,41
487,93,6,41
488,91,6,41
489,91,6,41
383,139,5,42
384,138,5,42
427,85,5,42
412,108,5,42
428,85,5,43
385,134,5,43
440,70,5,43
455,53,5,43
452,54,5,43
457,46,5,43
449,58,5,43
495,85,6,44
497,83,6,44
498,81,6,44
499,80,6,44
500,78,6,44
501,76,6,44
502,75,6,45
503,75,6,45
504,74,6,45
505,74,6,45
506,73,6,45
507,73,6,45
521,56,6,45
297,138,4,46
298,137,4,46
317,115,4,46
331,98,4,46
27,106,0,47
2,137,0,47
82,42,0,47
41,94,0,47
19,119,0,47
313,123,4,48
315,119,4,48
300,135,4,48
316,115,4,48
88,139,1,49
162,53,1,49
100,126,1,49
151,65,1,49
115,112,1,49
240,114,3,50
267,81,3,50
249,104,3,50
241,113,3,50
288,46,3,50
159,54,1,51
138,79,1,51
87,139,1,51
132,90,1,51
129,91,1,51
167,40,1,51
95,130,1,52
152,63,1,52
125,95,1,52
163,52,1,52
136,86,1,52
145,73,1,52
356,78,4,53
349,83,4,53
352,81,4,53
350,83,4,53
344,87,4,53
361,66,4,53
527,51,6,54
528,50,6,54
529,48,6,54
530,46,6,54
531,46,6,54
532,45,6,54
533,44,6,54
534,44,6,54
535,43,6,54
536,42,6,54
537,40,6,54
119,106,1,55
112,113,1,55
106,119,1,55
154,60,1,55
130,91,1,55
180,117,2,56
171,137,2,56
169,139,2,56
189,101,2,56
323,109,4,57
334,95,4,57
359,73,4,57
339,91,4,57
362,65,4,57
381,43,4,57
242,111,3,58
253,100,3,58
262,90,3,58
271,74,3,58
289,46,3,58
270,75,3,58
395,123,5,59
387,129,5,59
407,110,5,59
388,129,5,59
411,108,5,60
423,90,5,60
416,106,5,60
438,73,5,60
441,69,5,60
459,44,5,60
18,120,0,61
62,67,0,61
44,86,0,61
25,107,0,61
22,114,0,61
56,75,0,62
30,104,0,62
42,93,0,62
32,102,0,62
13,125,0,62
65,56,0,63
78,46,0,63
6,135,0,63
84,40,0,63
45,85,0,63
15,123,0,63
396,121,5,64
410,109,5,64
392,124,5,64
432,78,5,64
324,107,4,65
321,112,4,65
330,99,4,65
379,44,4,65
343,88,4,65
377,45,4,65
61,68,0,66
21,116,0,66
48,83,0,66
28,105,0,66
12,127,0,66
294,139,4,67
295,139,4,67
296,139,4,67
382,42,4,67
422,91,5,68
426,87,5,68
394,124,5,68
451,55,5,68
435,74,5,68
454,53,5,68
68,55,0,69
53,77,0,69
35,99,0,69
76,46,0,69
36,99,0,69
69,54,0,69
60,69,0,69
155,59,1,70
122,100,1,70
131,90,1,70
124,99,1,70
126,94,1,70
160,54,1,70
137,84,1,71
120,106,1,71
113,113,1,71
110,114,1,71
139,79,1,71
398,120,5,72
399,119,5,72
413,108,5,72
393,124,5,72
93,135,1,73
111,114,1,73
166,42,1,73
150,65,1,73
142,76,1,73
158,55,1,73
222,138,3,74
236,120,3,74
227,132,3,74
256,98,3,74
386,134,5,75
409,109,5,75
408,110,5,75
434,74,5,75
456,50,5,75
108,116,1,76
89,137,1,76
114,112,1,76
104,122,1,76
204,71,2,77
203,72,2,77
200,74,2,77
181,113,2,77
202,73,2,77
219,41,2,77
215,47,2,77
364,63,4,78
360,67,4,78
369,59,4,78
368,59,4,78
338,91,4,78
353,79,4,78
351,82,4,78
46,84,0,79
83,41,0,79
20,119,0,79
74,49,0,79
14,125,0,79
50,81,0,79
