PRN Index,PRN VRAM,PRN Type,GPU Index
35,5,7,0
36,5,7,0
248,5,57,1
257,3,59,1
258,2,59,1
301,2,69,1
204,5,45,2
210,3,45,2
208,4,45,2
33,3,6,3
61,5,12,3
63,3,12,3
211,5,46,4
213,3,46,4
214,3,46,4
77,4,15,5
76,4,15,5
79,2,15,5
80,2,15,5
176,5,36,6
178,4,36,6
180,3,36,6
19,3,3,7
20,2,3,7
18,3,3,7
23,2,4,7
24,2,4,7
220,5,48,8
223,3,48,8
225,2,48,8
226,2,48,8
315,2,73,9
316,2,73,9
313,2,73,9
314,2,73,9
311,4,73,9
253,4,58,10
254,3,58,10
255,2,58,10
256,2,58,10
70,3,14,11
71,3,14,11
72,3,14,11
74,2,14,11
152,3,32,12
151,5,32,12
153,2,32,12
237,2,53,12
291,5,68,13
292,4,68,13
294,3,68,13
34,3,6,14
31,4,6,14
32,4,6,14
219,5,48,15
221,4,48,15
222,3,48,15
86,3,16,16
87,3,16,16
88,3,16,16
89,3,16,16
215,5,47,17
216,3,47,17
218,2,47,17
217,2,47,17
52,4,10,18
53,3,10,18
51,5,10,18
101,5,20,19
102,4,20,19
103,3,20,19
126,2,24,20
124,3,24,20
125,3,24,20
127,2,25,20
128,2,25,20
136,4,29,21
138,2,29,21
139,2,29,21
140,2,29,21
137,2,29,21
201,3,44,22
202,3,44,22
203,2,44,22
224,3,48,22
82,4,16,23
83,4,16,23
84,4,16,23
298,5,69,24
299,3,69,24
300,3,69,24
120,4,23,25
121,4,23,25
122,3,23,25
54,5,11,26
57,3,11,26
58,3,11,26
164,3,34,27
166,2,34,27
162,3,34,27
227,2,49,27
228,2,49,27
331,4,77,28
332,3,77,28
98,5,19,29
99,3,19,29
100,3,19,29
293,3,68,30
296,3,68,30
295,3,68,30
297,2,68,30
200,2,43,31
199,5,43,31
264,3,61,31
265,2,61,31
319,3,74,32
320,2,74,32
330,2,76,32
328,2,76,32
329,2,76,32
25,5,5,33
26,3,5,33
30,2,5,33
73,2,14,33
47,3,9,34
46,4,9,34
44,5,9,34
13,3,2,35
14,3,2,35
16,2,2,35
17,2,2,35
118,2,22,35
304,2,70,36
305,2,70,36
306,2,70,36
302,3,70,36
303,3,70,36
21,3,4,37
22,3,4,37
27,2,5,37
28,2,5,37
29,2,5,37
182,4,37,38
183,3,37,38
184,2,37,38
188,2,38,38
69,2,13,39
68,2,13,39
130,2,26,39
129,5,26,39
177,5,36,40
175,5,36,40
181,2,36,40
252,2,57,41
249,4,57,41
250,3,57,41
251,2,57,41
115,3,22,42
116,3,22,42
113,4,22,42
119,2,22,42
244,2,55,43
241,4,55,43
246,3,56,43
247,3,56,43
75,5,15,44
78,3,15,44
81,2,15,44
111,2,21,44
198,3,42,45
197,3,42,45
230,3,50,45
229,3,50,45
159,2,33,46
160,2,33,46
154,4,33,46
155,4,33,46
185,5,38,47
186,3,38,47
190,2,38,47
187,2,38,47
189,2,38,48
196,2,41,48
195,5,41,48
212,3,46,48
117,3,22,49
114,3,22,49
112,5,22,49
171,3,35,50
174,2,35,50
172,2,35,50
167,5,35,50
144,2,30,51
141,5,30,51
142,3,30,51
143,2,30,51
239,2,54,52
240,2,54,52
242,3,55,52
243,3,55,52
245,2,55,52
39,3,8,53
40,3,8,53
41,3,8,53
42,3,8,53
93,4,18,54
94,3,18,54
95,2,18,54
96,2,18,54
263,2,60,55
309,3,72,55
310,3,72,55
37,5,8,56
38,4,8,56
43,2,8,56
150,2,31,57
146,3,31,57
145,5,31,57
147,2,31,57
277,5,65,58
282,2,65,58
284,2,65,58
283,2,65,58
123,5,24,59
131,5,27,59
132,2,27,59
271,4,63,60
272,4,63,60
161,4,34,61
163,3,34,61
165,2,34,61
179,3,36,61
267,3,62,62
270,2,62,62
269,2,62,62
266,5,62,62
206,5,45,63
207,5,45,63
231,5,51,64
232,3,51,64
233,2,52,64
234,2,52,64
289,5,67,65
290,2,67,65
307,3,71,65
308,2,71,65
321,5,75,66
322,3,75,66
323,3,75,66
168,4,35,67
169,3,35,67
170,3,35,67
173,2,35,67
107,4,21,68
108,3,21,68
109,3,21,68
110,2,21,68
278,5,65,69
279,4,65,69
281,3,65,69
45,5,9,70
48,3,9,70
49,2,9,70
50,2,9,70
56,3,11,71
59,2,11,71
60,2,11,71
55,5,11,71
325,2,75,72
326,2,75,72
327,2,75,72
324,3,75,72
0,5,0,73
1,4,0,73
3,3,0,73
10,5,2,74
11,5,2,74
15,2,2,74
205,5,45,75
209,3,45,75
268,3,62,75
8,5,1,76
9,3,1,76
12,3,2,76
317,5,74,77
318,5,74,77
62,4,12,78
67,2,12,78
64,2,12,78
65,2,12,78
66,2,12,78
149,2,31,79
148,2,31,79
156,3,33,79
157,2,33,79
158,2,33,79
97,5,19,80
104,3,20,80
105,2,20,80
106,2,20,80
133,5,28,81
134,2,28,81
135,5,29,81
235,5,53,82
236,4,53,82
238,2,53,82
2,4,0,83
4,2,0,83
5,2,0,83
6,2,0,83
7,2,0,83
191,2,39,84
192,2,39,84
193,5,40,84
194,2,40,84
261,3,60,85
259,4,60,85
260,3,60,85
262,2,60,85
85,4,16,86
90,3,17,86
91,3,17,86
92,2,17,86
273,2,64,87
274,2,64,87
275,2,64,87
276,2,64,87
280,4,65,87
285,3,66,88
286,2,66,88
287,2,66,88
288,2,66,88
312,3,73,88
