PRN Index,PRN VRAM,PRN Type,GPU Index
0,10,0,0
1,10,0,0
2,10,0,0
3,10,0,0
4,10,0,0
5,10,0,0
6,10,0,0
7,9,0,0
8,9,0,0
9,9,0,0
49,3,0,0
10,9,0,1
11,8,0,1
12,8,0,1
13,8,0,1
14,8,0,1
15,8,0,1
16,8,0,1
17,8,0,1
18,7,0,1
19,7,0,1
20,7,0,1
21,7,0,1
22,7,0,1
23,7,0,2
24,7,0,2
25,7,0,2
26,7,0,2
27,7,0,2
28,6,0,2
29,6,0,2
30,6,0,2
31,6,0,2
32,6,0,2
33,6,0,2
34,6,0,2
35,5,0,2
36,5,0,2
37,5,0,2
38,5,0,2
50,3,0,2
39,5,0,3
40,5,0,3
41,4,0,3
42,4,0,3
43,4,0,3
44,4,0,3
45,4,0,3
46,4,0,3
47,4,0,3
48,4,0,3
51,3,0,3
52,3,0,3
53,3,0,3
54,2,0,3
55,2,0,3
56,2,0,3
57,2,0,3
58,10,1,4
59,10,1,4
60,10,1,4
61,10,1,4
62,10,1,4
63,10,1,4
64,9,1,4
65,9,1,4
66,9,1,4
67,9,1,4
88,4,1,4
68,8,1,5
69,8,1,5
70,8,1,5
71,8,1,5
72,8,1,5
73,8,1,5
74,7,1,5
75,7,1,5
76,7,1,5
77,7,1,5
78,7,1,5
79,7,1,5
80,6,1,5
89,4,1,5
81,6,1,6
82,6,1,6
83,6,1,6
84,6,1,6
85,5,1,6
86,5,1,6
87,5,1,6
90,4,1,6
91,4,1,6
92,4,1,6
93,3,1,6
94,3,1,6
95,2,1,6
96,2,1,6
97,2,1,6
98,2,1,6
99,2,1,6
100,10,2,7
101,10,2,7
102,10,2,7
103,10,2,7
104,10,2,7
105,10,2,7
106,10,2,7
107,10,2,7
108,10,2,7
109,9,2,7
110,9,2,8
111,9,2,8
112,9,2,8
113,9,2,8
114,9,2,8
115,9,2,8
116,8,2,8
117,8,2,8
118,8,2,8
119,8,2,8
120,8,2,8
133,6,2,8
121,8,2,9
122,8,2,9
123,8,2,9
124,7,2,9
125,7,2,9
126,7,2,9
127,7,2,9
128,7,2,9
129,7,2,9
130,7,2,9
131,7,2,9
132,7,2,9
134,6,2,9
135,6,2,9
136,6,2,10
137,5,2,10
138,5,2,10
139,5,2,10
140,5,2,10
141,4,2,10
142,4,2,10
143,4,2,10
144,4,2,10
145,4,2,10
146,4,2,10
147,3,2,10
148,3,2,10
149,3,2,10
150,3,2,10
151,3,2,10
152,3,2,10
153,2,2,10
154,10,3,11
155,10,3,11
156,10,3,11
157,10,3,11
158,10,3,11
159,9,3,11
160,9,3,11
161,9,3,11
162,9,3,11
163,9,3,11
182,5,3,11
164,9,3,12
165,9,3,12
166,9,3,12
167,9,3,12
168,9,3,12
169,8,3,12
170,8,3,12
171,8,3,12
172,8,3,12
173,8,3,12
174,7,3,12
175,7,3,12
176,7,3,13
177,6,3,13
178,6,3,13
179,6,3,13
180,6,3,13
181,6,3,13
183,5,3,13
184,5,3,13
185,4,3,13
186,4,3,13
187,4,3,13
188,3,3,13
189,3,3,13
190,3,3,13
191,3,3,13
192,3,3,13
193,2,3,13
194,2,3,13
195,2,3,13
196,2,3,13
