PRN Index,PRN VRAM,PRN Type,GPU Index
130,2,28,0
128,4,28,0
129,3,28,0
224,3,52,1
223,4,52,1
222,5,52,1
230,3,54,2
231,3,54,2
228,3,54,2
229,3,54,2
197,4,45,3
199,3,45,3
198,3,45,3
200,2,45,3
161,5,36,4
162,5,36,4
163,2,36,4
323,5,78,5
324,3,78,5
327,2,78,5
328,2,78,5
173,5,39,6
176,2,39,6
175,3,39,6
194,3,44,7
195,2,44,7
196,5,45,7
201,2,45,7
284,3,68,8
285,3,68,8
288,2,68,8
287,2,68,8
286,2,68,8
310,5,74,9
311,3,74,9
104,2,20,10
103,2,20,10
106,2,21,10
105,3,21,10
126,3,27,10
271,3,64,11
272,2,64,11
269,5,64,11
330,3,79,12
331,2,79,12
329,4,79,12
36,2,8,13
37,2,8,13
38,4,9,13
42,2,9,13
43,2,9,13
76,5,15,14
78,3,15,14
84,2,16,14
83,2,16,14
251,2,58,15
250,4,58,15
252,2,58,15
326,2,78,15
325,2,78,15
122,4,26,16
123,2,26,16
121,5,26,16
110,4,23,17
111,2,23,17
112,2,23,17
113,2,23,17
114,2,23,17
14,5,4,18
15,3,4,18
21,3,5,18
225,2,52,19
221,5,52,19
270,5,64,19
135,4,30,20
137,3,30,20
138,2,30,20
139,2,30,20
282,5,68,21
283,3,68,21
315,2,76,21
316,2,76,21
205,5,47,22
206,3,47,22
208,2,47,22
209,2,47,22
115,4,24,23
116,3,24,23
117,2,24,23
118,2,24,23
304,3,72,24
305,2,72,24
332,5,80,24
335,2,80,24
55,2,11,25
50,5,11,25
53,2,11,25
63,2,12,25
254,2,59,26
255,2,59,26
253,3,59,26
259,3,61,26
260,2,61,26
264,3,63,27
265,3,63,27
263,5,63,27
136,3,30,28
157,2,34,28
158,2,34,28
156,5,34,28
179,3,40,29
177,4,40,29
180,2,40,29
178,3,40,29
261,3,62,30
262,3,62,30
267,2,63,30
268,2,63,30
266,2,63,30
219,2,51,31
220,2,51,31
218,2,51,31
226,4,53,31
227,2,53,31
276,2,66,32
277,2,66,32
275,3,66,32
289,3,69,32
290,2,69,32
93,3,18,33
94,2,18,33
89,5,18,33
96,2,19,33
247,4,57,34
249,2,57,34
245,5,57,34
141,3,31,35
142,3,31,35
143,3,31,35
144,3,31,35
151,2,32,36
147,2,32,36
148,2,32,36
149,2,32,36
155,3,33,36
319,4,77,37
322,2,77,37
317,5,77,37
65,4,13,38
66,3,13,38
68,2,13,38
67,3,13,38
62,2,12,39
56,3,12,39
60,2,12,39
59,2,12,39
57,3,12,39
1,5,0,40
5,2,1,40
6,4,2,40
29,3,7,41
30,3,7,41
33,3,8,41
34,3,8,41
124,5,27,42
125,5,27,42
127,2,27,42
134,5,30,43
133,5,30,43
140,2,30,43
101,3,20,44
99,3,20,44
97,5,20,44
248,2,57,45
246,5,57,45
308,5,73,45
333,5,80,46
334,5,80,46
203,3,46,47
204,2,46,47
202,5,46,47
207,2,47,47
300,4,71,48
303,2,71,48
302,3,71,48
301,3,71,48
2,3,0,49
0,5,0,49
3,2,1,49
4,2,1,49
22,2,5,50
20,4,5,50
24,3,6,50
25,3,6,50
79,3,15,51
80,2,15,51
81,2,15,51
82,2,15,51
77,3,15,51
168,4,38,52
167,4,38,52
171,2,38,52
172,2,38,52
189,3,43,53
190,3,43,53
192,2,43,53
188,4,43,53
187,5,43,54
211,3,48,54
210,3,48,54
233,4,55,55
234,3,55,55
237,2,55,55
181,2,41,56
182,2,41,56
183,2,41,56
184,2,41,56
186,2,42,56
185,2,42,56
296,3,70,57
293,3,70,57
291,4,70,57
297,2,70,57
306,5,73,58
309,2,73,58
307,5,73,58
169,3,38,59
170,3,38,59
166,5,38,59
313,3,75,60
314,3,75,60
312,4,75,60
74,3,14,61
75,3,14,61
72,3,14,61
87,3,17,61
95,3,19,62
98,4,20,62
100,3,20,62
102,2,20,62
154,3,33,63
153,4,33,63
152,5,33,63
41,3,9,64
48,2,10,64
49,2,10,64
46,5,10,64
85,5,17,65
86,4,17,65
88,3,17,65
292,3,70,66
294,3,70,66
295,3,70,66
298,2,70,66
92,3,18,67
90,5,18,67
91,3,18,67
146,5,32,68
145,5,32,68
150,2,32,68
8,3,2,69
10,2,2,69
11,2,2,69
7,3,2,69
9,2,2,69
40,3,9,70
45,2,9,70
44,2,9,70
39,4,9,70
47,3,10,71
52,3,11,71
51,4,11,71
54,2,11,71
165,2,37,72
164,5,37,72
174,4,39,72
274,2,65,73
273,4,65,73
299,5,71,73
58,3,12,74
61,2,12,74
64,5,13,74
69,2,13,74
109,2,22,75
108,3,22,75
107,4,22,75
120,2,25,75
215,5,50,76
217,2,50,76
216,2,50,76
241,3,56,76
257,3,60,77
258,3,60,77
256,4,60,77
119,4,25,78
131,4,29,78
132,3,29,78
278,4,67,79
280,2,67,79
281,2,67,79
279,2,67,79
12,2,3,80
13,2,3,80
16,2,4,80
17,2,4,80
18,2,4,80
19,2,4,80
32,4,8,81
31,5,8,81
35,3,8,81
232,5,55,82
236,2,55,82
235,3,55,82
238,2,55,82
70,5,14,83
71,4,14,83
73,3,14,83
239,4,56,84
240,4,56,84
244,2,56,84
243,2,56,84
318,5,77,85
320,3,77,85
321,3,77,85
26,3,6,86
27,2,6,86
23,5,6,86
28,2,6,86
160,3,35,87
159,4,35,87
191,2,43,87
193,2,43,87
214,2,49,88
213,3,49,88
212,4,49,88
242,3,56,88
