PRN Index,PRN VRAM,PRN Type,GPU Index
79,43,0,0
80,43,0,0
81,43,0,0
82,42,0,0
83,41,0,0
84,40,0,0
85,40,0,0
86,40,0,0
373,53,4,1
374,53,4,1
376,49,4,1
378,45,4,1
379,44,4,1
380,44,4,1
381,43,4,1
382,42,4,1
454,53,5,2
455,53,5,2
456,50,5,2
457,46,5,2
458,46,5,2
459,44,5,2
460,44,5,2
461,43,5,2
527,51,6,3
528,50,6,3
529,48,6,3
530,46,6,3
531,46,6,3
532,45,6,3
533,44,6,3
534,44,6,3
536,42,6,3
537,40,6,3
401,117,5,4
402,115,5,4
403,114,5,4
404,113,5,4
138,79,1,5
139,79,1,5
140,76,1,5
141,76,1,5
142,76,1,5
143,75,1,5
161,54,1,6
162,53,1,6
163,52,1,6
288,46,3,6
289,46,3,6
290,45,3,6
165,43,1,6
291,41,3,6
292,41,3,6
167,40,1,6
107,117,1,7
108,116,1,7
109,115,1,7
111,114,1,7
20,119,0,8
21,116,0,8
22,114,0,8
23,114,0,8
152,63,1,9
153,62,1,9
154,60,1,9
155,59,1,9
157,56,1,9
158,55,1,9
159,54,1,9
160,54,1,9
258,96,3,10
259,94,3,10
260,94,3,10
261,93,3,10
264,86,3,10
39,97,0,11
40,96,0,11
41,94,0,11
42,93,0,11
46,84,0,11
430,82,5,12
431,80,5,12
432,78,5,12
433,78,5,12
434,74,5,12
435,74,5,12
418,97,5,13
419,94,5,13
420,93,5,13
421,92,5,13
422,91,5,13
332,97,4,14
333,96,4,14
335,94,4,14
336,92,4,14
337,92,4,14
484,102,6,15
486,94,6,15
487,93,6,15
488,91,6,15
489,91,6,15
235,121,3,16
237,119,3,16
238,118,3,16
239,114,3,16
444,67,5,17
445,67,5,17
447,60,5,17
448,59,5,17
449,58,5,17
451,55,5,17
452,54,5,17
453,54,5,17
279,65,3,18
280,64,3,18
281,63,3,18
282,61,3,18
283,59,3,18
284,57,3,18
285,56,3,18
287,50,3,18
508,73,6,19
509,73,6,19
510,70,6,19
511,68,6,19
513,65,6,19
514,65,6,19
515,61,6,19
205,69,2,20
206,67,2,20
207,67,2,20
208,63,2,20
210,55,2,20
211,53,2,20
212,52,2,20
214,50,2,20
313,123,4,21
314,119,4,21
315,119,4,21
316,115,4,21
265,85,3,22
266,82,3,22
267,81,3,22
268,78,3,22
269,76,3,22
270,75,3,22
365,63,4,23
366,62,4,23
367,62,4,23
368,59,4,23
369,59,4,23
370,58,4,23
371,58,4,23
372,57,4,23
472,121,6,24
473,121,6,24
474,120,6,24
475,118,6,24
16,122,0,25
17,120,0,25
18,120,0,25
19,119,0,25
