PRN Index,PRN VRAM,PRN Type,GPU Index
0,5,0,0
1,4,0,0
3,3,0,0
2,4,0,1
4,2,0,1
5,2,0,1
6,2,0,1
7,2,0,1
10,5,2,2
11,5,2,2
15,2,2,2
25,5,5,3
26,3,5,3
27,2,5,3
28,2,5,3
37,5,8,4
38,4,8,4
39,3,8,4
44,5,9,5
45,5,9,5
49,2,9,5
46,4,9,6
47,3,9,6
48,3,9,6
50,2,9,6
51,5,10,7
52,4,10,7
53,3,10,7
54,5,11,8
55,5,11,8
59,2,11,8
61,5,12,9
62,4,12,9
63,3,12,9
75,5,15,10
76,4,15,10
78,3,15,10
82,4,16,11
83,4,16,11
84,4,16,11
101,5,20,12
102,4,20,12
103,3,20,12
107,4,21,13
108,3,21,13
109,3,21,13
110,2,21,13
112,5,22,14
113,4,22,14
114,3,22,14
141,5,30,15
142,3,30,15
143,2,30,15
144,2,30,15
145,5,31,16
146,3,31,16
147,2,31,16
148,2,31,16
161,4,34,17
162,3,34,17
163,3,34,17
165,2,34,17
167,5,35,18
168,4,35,18
169,3,35,18
170,3,35,19
171,3,35,19
172,2,35,19
173,2,35,19
174,2,35,19
175,5,36,20
176,5,36,20
181,2,36,20
177,5,36,21
178,4,36,21
179,3,36,21
185,5,38,22
186,3,38,22
187,2,38,22
188,2,38,22
215,5,47,23
216,3,47,23
217,2,47,23
218,2,47,23
219,5,48,24
220,5,48,24
225,2,48,24
221,4,48,25
222,3,48,25
223,3,48,25
226,2,48,25
241,4,55,26
242,3,55,26
243,3,55,26
244,2,55,26
248,5,57,27
249,4,57,27
250,3,57,27
259,4,60,28
260,3,60,28
261,3,60,28
262,2,60,28
277,5,65,29
278,5,65,29
282,2,65,29
291,5,68,30
292,4,68,30
293,3,68,30
302,3,70,31
303,3,70,31
304,2,70,31
305,2,70,31
306,2,70,31
317,5,74,32
318,5,74,32
320,2,74,32
12,3,2,33
13,3,2,33
14,3,2,33
16,2,2,33
31,4,6,34
32,4,6,34
33,3,6,34
40,3,8,35
41,3,8,35
42,3,8,35
43,2,8,35
56,3,11,36
57,3,11,36
58,3,11,36
60,2,11,36
70,3,14,37
71,3,14,37
72,3,14,37
73,2,14,37
93,4,18,38
94,3,18,38
95,2,18,38
96,2,18,38
115,3,22,39
116,3,22,39
117,3,22,39
118,2,22,39
120,4,23,40
121,4,23,40
122,3,23,40
123,5,24,41
124,3,24,41
125,3,24,41
135,5,29,42
136,4,29,42
137,2,29,42
154,4,33,43
155,4,33,43
156,3,33,43
211,5,46,44
212,3,46,44
213,3,46,44
235,5,53,45
236,4,53,45
237,2,53,45
253,4,58,46
254,3,58,46
255,2,58,46
256,2,58,46
266,5,62,47
267,3,62,47
268,3,62,47
279,4,65,48
280,4,65,48
281,3,65,48
294,3,68,49
295,3,68,49
296,3,68,49
297,2,68,49
298,5,69,50
299,3,69,50
300,3,69,50
311,4,73,51
312,3,73,51
313,2,73,51
314,2,73,51
321,5,75,52
322,3,75,52
323,3,75,52
21,3,4,53
22,3,4,53
23,2,4,53
24,2,4,53
17,2,2,53
35,5,7,54
36,5,7,54
74,2,14,54
77,4,15,55
79,2,15,55
80,2,15,55
81,2,15,55
111,2,21,55
85,4,16,56
86,3,16,56
87,3,16,56
119,2,22,56
97,5,19,57
98,5,19,57
126,2,24,57
151,5,32,58
152,3,32,58
153,2,32,58
238,2,53,58
204,5,45,59
205,5,45,59
245,2,55,59
206,5,45,60
207,5,45,60
263,2,60,60
208,4,45,61
209,3,45,61
210,3,45,61
301,2,69,61
182,4,37,62
183,3,37,62
184,2,37,62
34,3,6,62
285,3,66,63
286,2,66,63
287,2,66,63
288,2,66,63
180,3,36,63
324,3,75,64
325,2,75,64
326,2,75,64
327,2,75,64
214,3,46,64
8,5,1,65
9,3,1,65
29,2,5,65
30,2,5,65
18,3,3,66
19,3,3,66
20,2,3,66
68,2,13,66
69,2,13,66
64,2,12,67
65,2,12,67
66,2,12,67
67,2,12,67
127,2,25,67
128,2,25,67
90,3,17,68
91,3,17,68
92,2,17,68
149,2,31,68
150,2,31,68
157,2,33,69
158,2,33,69
159,2,33,69
160,2,33,69
189,2,38,69
190,2,38,69
201,3,44,70
202,3,44,70
203,2,44,70
191,2,39,70
192,2,39,70
231,5,51,71
232,3,51,71
227,2,49,71
228,2,49,71
271,4,63,72
272,4,63,72
233,2,52,72
234,2,52,72
273,2,64,73
274,2,64,73
275,2,64,73
276,2,64,73
239,2,54,73
240,2,54,73
104,3,20,74
105,2,20,74
106,2,20,74
164,3,34,74
166,2,34,74
129,5,26,75
130,2,26,75
257,3,59,75
258,2,59,75
131,5,27,76
132,2,27,76
264,3,61,76
265,2,61,76
133,5,28,77
134,2,28,77
307,3,71,77
308,2,71,77
193,5,40,78
194,2,40,78
251,2,57,78
252,2,57,78
195,5,41,79
196,2,41,79
269,2,62,79
270,2,62,79
199,5,43,80
200,2,43,80
283,2,65,80
284,2,65,80
289,5,67,81
290,2,67,81
315,2,73,81
316,2,73,81
331,4,77,82
332,3,77,82
224,3,48,82
88,3,16,83
89,3,16,83
99,3,19,83
100,3,19,83
138,2,29,84
139,2,29,84
140,2,29,84
197,3,42,84
198,3,42,84
229,3,50,85
230,3,50,85
246,3,56,85
247,3,56,85
309,3,72,86
310,3,72,86
328,2,76,86
329,2,76,86
330,2,76,86
319,3,74,87
