PRN Index,PRN VRAM,PRN Type,GPU Index
60,133,1,0
61,132,1,0
62,130,1,0
75,105,1,0
76,105,1,1
77,103,1,1
78,100,1,1
79,98,1,1
81,94,1,1
119,138,2,2
120,138,2,2
121,137,2,2
151,87,2,2
122,131,2,3
123,130,2,3
124,126,2,3
134,113,2,3
173,138,3,4
174,137,3,4
175,135,3,4
197,90,3,4
184,113,3,5
185,110,3,5
186,109,3,5
187,108,3,5
213,60,3,5
198,89,3,6
199,88,3,6
200,86,3,6
201,85,3,6
202,83,3,6
211,69,3,6
220,133,4,7
221,133,4,7
222,132,4,7
237,102,4,7
223,131,4,8
224,128,4,8
225,127,4,8
233,114,4,8
0,138,0,9
1,135,0,9
2,133,0,9
21,93,0,9
138,105,2,10
139,103,2,10
140,102,2,10
141,102,2,10
152,87,2,10
240,96,4,11
242,89,4,11
243,89,4,11
244,88,4,11
245,88,4,11
264,49,4,11
3,129,0,12
4,128,0,12
5,126,0,12
8,115,0,12
11,111,0,13
12,110,0,13
13,109,0,13
14,109,0,13
42,59,0,13
54,140,1,14
55,138,1,14
56,137,1,14
89,83,1,14
57,137,1,15
58,136,1,15
59,136,1,15
85,89,1,15
67,116,1,16
68,116,1,16
69,113,1,16
70,112,1,16
116,41,1,16
252,74,4,17
253,74,4,17
254,74,4,17
255,73,4,17
256,71,4,17
257,69,4,17
258,63,4,17
15,108,0,18
16,106,0,18
17,101,0,18
18,100,0,18
27,82,0,18
71,110,1,19
72,110,1,19
73,107,1,19
74,107,1,19
105,63,1,19
94,78,1,20
95,76,1,20
96,76,1,20
97,73,1,20
98,73,1,20
99,72,1,20
113,49,1,20
133,114,2,21
135,112,2,21
136,111,2,21
137,109,2,21
166,51,2,21
188,108,3,22
189,105,3,22
190,103,3,22
191,102,3,22
203,79,3,22
235,106,4,23
236,103,4,23
238,99,4,23
239,98,4,23
241,91,4,23
25,87,0,24
26,86,0,24
28,82,0,24
29,81,0,24
30,80,0,24
31,80,0,24
159,78,2,25
161,63,2,25
162,57,2,25
163,57,2,25
164,56,2,25
165,56,2,25
168,45,2,25
169,43,2,25
170,41,2,25
87,87,1,26
88,87,1,26
90,82,1,26
91,81,1,26
92,79,1,26
93,79,1,26
125,125,2,27
126,125,2,27
127,124,2,27
128,121,2,27
147,94,2,28
148,89,2,28
149,89,2,28
150,89,2,28
153,86,2,28
167,45,2,28
154,86,2,29
155,86,2,29
156,84,2,29
157,84,2,29
158,83,2,29
160,69,2,29
176,127,3,30
177,122,3,30
178,122,3,30
179,119,3,30
226,125,4,31
227,124,4,31
228,122,4,31
229,118,4,31
192,101,3,32
193,100,3,32
194,100,3,32
195,96,3,32
196,91,3,32
142,102,2,33
143,98,2,33
144,97,2,33
145,94,2,33
146,94,2,33
63,123,1,34
64,122,1,34
65,120,1,34
66,118,1,34
246,86,4,35
247,84,4,35
248,81,4,35
249,79,4,35
250,76,4,35
251,76,4,35
32,74,0,36
33,72,0,36
34,69,0,36
35,69,0,36
36,67,0,36
37,65,0,36
38,64,0,36
129,121,2,37
130,120,2,37
131,119,2,37
132,119,2,37
100,71,1,38
101,71,1,38
102,70,1,38
103,69,1,38
104,67,1,38
106,63,1,38
107,62,1,38
39,64,0,39
40,63,0,39
41,63,0,39
43,57,0,39
44,57,0,39
45,57,0,39
46,56,0,39
47,54,0,39
180,119,3,40
181,118,3,40
182,116,3,40
183,115,3,40
80,98,1,41
82,94,1,41
83,93,1,41
84,92,1,41
86,89,1,41
19,99,0,42
20,95,0,42
22,91,0,42
23,90,0,42
24,90,0,42
6,119,0,43
7,118,0,43
9,113,0,43
10,113,0,43
230,117,4,44
231,117,4,44
232,117,4,44
234,112,4,44
204,78,3,45
205,78,3,45
206,78,3,45
207,77,3,45
208,76,3,45
209,72,3,45
108,58,1,46
109,57,1,46
110,57,1,46
111,54,1,46
112,53,1,46
114,47,1,46
115,46,1,46
117,41,1,46
118,41,1,46
259,61,4,47
260,58,4,47
261,56,4,47
262,55,4,47
263,53,4,47
265,46,4,47
266,43,4,47
267,41,4,47
268,41,4,47
210,70,3,48
212,66,3,48
214,59,3,48
215,53,3,48
216,53,3,48
217,50,3,48
218,48,3,48
219,42,3,48
48,52,0,49
49,51,0,49
50,51,0,49
51,45,0,49
52,43,0,49
53,41,0,49
171,41,2,49
172,40,2,49
