PRN Index,PRN VRAM,PRN Type,GPU Index
6,4,2,0
7,3,2,0
8,3,2,0
9,2,2,0
14,5,4,1
15,3,4,1
16,2,4,1
17,2,4,1
31,5,8,2
32,4,8,2
33,3,8,2
46,5,10,3
47,3,10,3
48,2,10,3
49,2,10,3
50,5,11,4
51,4,11,4
52,3,11,4
64,5,13,5
65,4,13,5
66,3,13,5
70,5,14,6
71,4,14,6
72,3,14,6
85,5,17,7
86,4,17,7
87,3,17,7
89,5,18,8
90,5,18,8
94,2,18,8
97,5,20,9
98,4,20,9
99,3,20,9
100,3,20,10
101,3,20,10
102,2,20,10
103,2,20,10
104,2,20,10
110,4,23,11
111,2,23,11
112,2,23,11
113,2,23,11
114,2,23,11
124,5,27,12
125,5,27,12
127,2,27,12
133,5,30,13
134,5,30,13
138,2,30,13
135,4,30,14
136,3,30,14
137,3,30,14
139,2,30,14
141,3,31,15
142,3,31,15
143,3,31,15
144,3,31,15
145,5,32,16
146,5,32,16
147,2,32,16
152,5,33,17
153,4,33,17
154,3,33,17
161,5,36,18
162,5,36,18
163,2,36,18
166,5,38,19
167,4,38,19
169,3,38,19
173,5,39,20
174,4,39,20
175,3,39,20
177,4,40,21
178,3,40,21
179,3,40,21
180,2,40,21
187,5,43,22
188,4,43,22
189,3,43,22
196,5,45,23
197,4,45,23
198,3,45,23
205,5,47,24
206,3,47,24
207,2,47,24
208,2,47,24
221,5,52,25
222,5,52,25
225,2,52,25
228,3,54,26
229,3,54,26
230,3,54,26
231,3,54,26
232,5,55,27
233,4,55,27
234,3,55,27
245,5,57,28
246,5,57,28
248,2,57,28
269,5,64,29
270,5,64,29
272,2,64,29
291,4,70,30
292,3,70,30
293,3,70,30
297,2,70,30
299,5,71,31
300,4,71,31
301,3,71,31
306,5,73,32
307,5,73,32
309,2,73,32
317,5,77,33
318,5,77,33
322,2,77,33
323,5,78,34
324,3,78,34
325,2,78,34
326,2,78,34
332,5,80,35
333,5,80,35
335,2,80,35
23,5,6,36
24,3,6,36
25,3,6,36
38,4,9,37
39,4,9,37
40,3,9,37
41,3,9,38
42,2,9,38
43,2,9,38
44,2,9,38
45,2,9,38
56,3,12,39
57,3,12,39
58,3,12,39
59,2,12,39
76,5,15,40
77,3,15,40
78,3,15,40
115,4,24,41
116,3,24,41
117,2,24,41
118,2,24,41
121,5,26,42
122,4,26,42
123,2,26,42
168,4,38,43
170,3,38,43
171,2,38,43
172,2,38,43
239,4,56,44
240,4,56,44
241,3,56,44
263,5,63,45
264,3,63,45
265,3,63,45
282,5,68,46
283,3,68,46
284,3,68,46
294,3,70,47
295,3,70,47
296,3,70,47
298,2,70,47
0,5,0,48
1,5,0,48
140,2,30,48
34,3,8,49
35,3,8,49
36,2,8,49
37,2,8,49
176,2,39,49
202,5,46,50
203,3,46,50
204,2,46,50
209,2,47,50
256,4,60,51
257,3,60,51
258,3,60,51
278,4,67,52
279,2,67,52
280,2,67,52
281,2,67,52
312,4,75,53
313,3,75,53
314,3,75,53
319,4,77,54
320,3,77,54
321,3,77,54
20,4,5,55
21,3,5,55
22,2,5,55
2,3,0,55
73,3,14,56
74,3,14,56
75,3,14,56
88,3,17,56
79,3,15,57
80,2,15,57
81,2,15,57
82,2,15,57
126,3,27,57
91,3,18,58
92,3,18,58
93,3,18,58
155,3,33,58
107,4,22,59
108,3,22,59
109,2,22,59
271,3,64,59
128,4,28,60
129,3,28,60
130,2,28,60
156,5,34,61
157,2,34,61
158,2,34,61
190,3,43,62
191,2,43,62
192,2,43,62
193,2,43,62
212,4,49,63
213,3,49,63
214,2,49,63
215,5,50,64
216,2,50,64
217,2,50,64
235,3,55,65
236,2,55,65
237,2,55,65
238,2,55,65
285,3,68,66
286,2,68,66
287,2,68,66
288,2,68,66
329,4,79,67
330,3,79,67
331,2,79,67
60,2,12,68
61,2,12,68
62,2,12,68
63,2,12,68
10,2,2,68
11,2,2,68
148,2,32,69
149,2,32,69
150,2,32,69
151,2,32,69
12,2,3,69
13,2,3,69
181,2,41,70
182,2,41,70
183,2,41,70
184,2,41,70
18,2,4,70
19,2,4,70
250,4,58,71
251,2,58,71
252,2,58,71
83,2,16,71
84,2,16,71
310,5,74,72
311,3,74,72
185,2,42,72
186,2,42,72
26,3,6,73
27,2,6,73
28,2,6,73
95,3,19,73
96,2,19,73
67,3,13,74
68,2,13,74
69,2,13,74
105,3,21,74
106,2,21,74
131,4,29,75
132,3,29,75
194,3,44,75
195,2,44,75
159,4,35,76
160,3,35,76
259,3,61,76
260,2,61,76
164,5,37,77
165,2,37,77
289,3,69,77
290,2,69,77
199,3,45,78
200,2,45,78
201,2,45,78
302,3,71,78
303,2,71,78
223,4,52,79
224,3,52,79
304,3,72,79
305,2,72,79
242,3,56,80
243,2,56,80
244,2,56,80
308,5,73,80
253,3,59,81
254,2,59,81
255,2,59,81
334,5,80,81
275,3,66,82
276,2,66,82
277,2,66,82
315,2,76,82
316,2,76,82
3,2,1,83
4,2,1,83
5,2,1,83
29,3,7,83
30,3,7,83
53,2,11,84
54,2,11,84
55,2,11,84
119,4,25,84
120,2,25,84
210,3,48,85
211,3,48,85
218,2,51,85
219,2,51,85
220,2,51,85
226,4,53,86
227,2,53,86
247,4,57,86
249,2,57,86
261,3,62,87
262,3,62,87
266,2,63,87
267,2,63,87
268,2,63,87
273,4,65,88
274,2,65,88
327,2,78,88
328,2,78,88
