PRN Index,PRN VRAM,PRN Type,GPU Index
506,73,6,0
491,90,6,0
462,140,6,0
512,66,6,0
514,65,6,0
518,58,6,0
470,123,6,1
483,106,6,1
490,91,6,1
528,50,6,1
474,120,6,1
312,124,4,2
317,115,4,2
319,113,4,2
307,129,4,2
294,139,4,3
295,139,4,3
296,139,4,3
349,83,4,3
326,105,4,4
324,107,4,4
371,58,4,4
306,130,4,4
375,50,4,4
230,126,3,5
231,124,3,5
232,123,3,5
233,123,3,5
525,51,6,6
510,70,6,6
468,127,6,6
498,81,6,6
472,121,6,6
533,44,6,6
373,53,4,7
340,89,4,7
325,107,4,7
315,119,4,7
308,127,4,7
100,126,1,8
101,124,1,8
102,124,1,8
103,123,1,8
335,94,4,9
343,88,4,9
344,87,4,9
345,86,4,9
346,85,4,9
379,44,4,9
408,110,5,10
401,117,5,10
419,94,5,10
454,53,5,10
393,124,5,10
186,106,2,11
187,103,2,11
188,102,2,11
189,101,2,11
192,88,2,11
513,65,6,12
515,61,6,12
524,52,6,12
509,73,6,12
520,56,6,12
465,137,6,12
526,51,6,12
254,99,3,13
237,119,3,13
222,138,3,13
271,74,3,13
279,65,3,13
97,129,1,14
98,127,1,14
99,127,1,14
107,117,1,14
207,67,2,15
211,53,2,15
212,52,2,15
214,50,2,15
180,117,2,15
201,74,2,15
218,43,2,15
219,41,2,15
329,100,4,16
318,114,4,16
334,95,4,16
322,110,4,16
360,67,4,16
469,123,6,17
535,43,6,17
489,91,6,17
536,42,6,17
463,139,6,17
527,51,6,17
170,139,2,18
179,120,2,18
217,45,2,18
182,113,2,18
197,79,2,18
140,76,1,19
141,76,1,19
142,76,1,19
143,75,1,19
144,74,1,19
145,73,1,19
164,49,1,19
412,108,5,20
413,108,5,20
447,60,5,20
448,59,5,20
425,88,5,20
458,46,5,20
0,140,0,21
1,138,0,21
2,137,0,21
45,85,0,21
433,78,5,22
434,74,5,22
435,74,5,22
406,112,5,22
429,82,5,22
444,67,5,22
386,134,5,23
387,129,5,23
388,129,5,23
414,106,5,23
330,99,4,24
303,132,4,24
304,130,4,24
305,130,4,24
3,137,0,25
4,136,0,25
5,136,0,25
43,90,0,25
320,113,4,26
321,112,4,26
337,92,4,26
376,49,4,26
380,44,4,26
381,43,4,26
382,42,4,26
181,113,2,27
213,50,2,27
193,87,2,27
199,75,2,27
194,86,2,27
195,84,2,27
88,139,1,28
89,137,1,28
90,135,1,28
135,89,1,28
302,133,4,29
339,91,4,29
341,89,4,29
342,89,4,29
374,53,4,29
377,45,4,29
467,128,6,30
496,84,6,30
522,56,6,30
516,60,6,30
517,58,6,30
495,85,6,30
242,111,3,31
243,111,3,31
258,96,3,31
225,134,3,31
289,46,3,31
355,78,4,32
332,97,4,32
333,96,4,32
327,104,4,32
328,102,4,32
183,112,2,33
184,111,2,33
198,76,2,33
248,105,3,33
263,86,3,33
471,123,6,34
494,86,6,34
492,90,6,34
505,74,6,34
473,121,6,34
245,107,3,35
226,132,3,35
227,132,3,35
228,127,3,35
172,136,2,36
173,132,2,36
190,90,2,36
204,71,2,36
205,69,2,36
293,40,3,37
261,93,3,37
224,134,3,37
278,67,3,37
256,98,3,37
287,50,3,37
241,113,3,38
236,120,3,38
265,85,3,38
238,118,3,38
280,64,3,38
39,97,0,39
40,96,0,39
41,94,0,39
42,93,0,39
46,84,0,39
221,40,2,40
203,72,2,40
168,140,2,40
169,139,2,40
191,89,2,40
499,80,6,41
504,74,6,41
477,116,6,41
475,118,6,41
493,86,6,41
34,100,0,42
35,99,0,42
36,99,0,42
37,98,0,42
38,98,0,42
461,43,5,43
405,112,5,43
450,55,5,43
411,108,5,43
457,46,5,43
424,89,5,43
459,44,5,43
416,106,5,44
417,97,5,44
446,64,5,44
403,114,5,44
432,78,5,44
253,100,3,45
247,106,3,45
268,78,3,45
257,97,3,45
255,98,3,45
235,121,3,46
272,72,3,46
244,109,3,46
251,102,3,46
260,94,3,46
91,135,1,47
92,135,1,47
93,135,1,47
125,95,1,47
488,91,6,48
503,75,6,48
482,108,6,48
480,110,6,48
481,110,6,48
383,139,5,49
384,138,5,49
385,134,5,49
426,87,5,49
110,114,1,50
111,114,1,50
112,113,1,50
126,94,1,50
159,54,1,50
348,84,4,51
297,138,4,51
298,137,4,51
299,135,4,51
478,112,6,52
466,135,6,52
485,98,6,52
508,73,6,52
511,68,6,52
60,69,0,53
61,68,0,53
62,67,0,53
63,65,0,53
64,60,0,53
65,56,0,53
66,55,0,53
67,55,0,53
404,113,5,54
396,121,5,54
392,124,5,54
407,110,5,54
24,112,0,55
26,107,0,55
27,106,0,55
28,105,0,55
59,70,0,55
196,82,2,56
200,74,2,56
178,123,2,56
215,47,2,56
208,63,2,56
209,59,2,56
216,46,2,56
464,137,6,57
519,58,6,57
521,56,6,57
484,102,6,57
530,46,6,57
531,46,6,57
537,40,6,57
29,105,0,58
30,104,0,58
31,103,0,58
32,102,0,58
44,86,0,58
6,135,0,59
7,133,0,59
8,132,0,59
33,100,0,59
22,114,0,60
76,46,0,60
83,41,0,60
84,40,0,60
85,40,0,60
86,40,0,60
105,121,1,60
160,54,1,60
331,98,4,61
359,73,4,61
350,83,4,61
351,82,4,61
352,81,4,61
353,79,4,61
390,127,5,62
391,127,5,62
409,109,5,62
