PRN Index,PRN VRAM,PRN Type,GPU Index
0,5,0,58
1,4,0,37
2,4,0,58
3,3,0,58
4,2,0,37
5,2,0,37
6,2,0,37
7,2,0,37
8,5,1,88
9,3,1,88
10,5,2,81
11,5,2,52
12,3,2,52
13,3,2,81
14,3,2,94
15,2,2,81
16,2,2,52
17,2,2,52
18,3,3,32
19,3,3,32
20,2,3,32
21,3,4,79
22,3,4,79
23,2,4,79
24,2,4,79
25,5,5,21
26,3,5,21
27,2,5,75
28,2,5,21
29,2,5,21
30,2,5,75
31,4,6,76
32,4,6,76
33,3,6,91
34,3,6,91
35,5,7,92
36,5,7,92
37,5,8,80
38,4,8,80
39,3,8,12
40,3,8,12
41,3,8,12
42,3,8,80
43,2,8,12
44,5,9,53
45,5,9,5
46,4,9,53
47,3,9,53
48,3,9,5
49,2,9,5
50,2,9,5
51,5,10,10
52,4,10,10
53,3,10,10
54,5,11,63
55,5,11,65
56,3,11,65
57,3,11,63
58,3,11,63
59,2,11,65
60,2,11,65
61,5,12,24
62,4,12,28
63,3,12,24
64,2,12,28
65,2,12,24
66,2,12,24
67,2,12,28
68,2,13,28
69,2,13,28
70,3,14,62
71,3,14,62
72,3,14,62
73,2,14,97
74,2,14,62
75,5,15,13
76,4,15,13
77,4,15,17
78,3,15,13
79,2,15,17
80,2,15,17
81,2,15,17
82,4,16,84
83,4,16,84
84,4,16,2
85,4,16,84
86,3,16,16
87,3,16,16
88,3,16,16
89,3,16,16
90,3,17,90
91,3,17,90
92,2,17,90
93,4,18,74
94,3,18,74
95,2,18,74
96,2,18,74
97,5,19,99
98,5,19,19
99,3,19,19
100,3,19,19
101,5,20,86
102,4,20,26
103,3,20,26
104,3,20,86
105,2,20,26
106,2,20,26
107,4,21,55
108,3,21,77
109,3,21,77
110,2,21,55
111,2,21,77
112,5,22,34
113,4,22,34
114,3,22,34
115,3,22,68
116,3,22,68
117,3,22,85
118,2,22,68
119,2,22,68
120,4,23,51
121,4,23,51
122,3,23,51
123,5,24,14
124,3,24,22
125,3,24,22
126,2,24,14
127,2,25,57
128,2,25,57
129,5,26,48
130,2,26,48
131,5,27,23
132,2,27,23
133,5,28,40
134,2,28,40
135,5,29,0
136,4,29,42
137,2,29,42
138,2,29,42
139,2,29,42
140,2,29,42
141,5,30,18
142,3,30,18
143,2,30,18
144,2,30,18
145,5,31,43
146,3,31,43
147,2,31,27
148,2,31,43
149,2,31,27
150,2,31,43
151,5,32,50
152,3,32,50
153,2,32,50
154,4,33,39
155,4,33,64
156,3,33,39
157,2,33,64
158,2,33,64
159,2,33,64
160,2,33,64
161,4,34,69
162,3,34,69
163,3,34,55
164,3,34,55
165,2,34,69
166,2,34,69
167,5,35,72
168,4,35,72
169,3,35,72
170,3,35,67
171,3,35,67
172,2,35,67
173,2,35,67
174,2,35,67
175,5,36,31
176,5,36,31
177,5,36,8
178,4,36,85
179,3,36,85
180,3,36,8
181,2,36,8
182,4,37,60
183,3,37,60
184,2,37,60
185,5,38,14
186,3,38,71
187,2,38,71
188,2,38,71
189,2,38,71
190,2,38,71
191,2,39,77
192,2,39,77
193,5,40,61
194,2,40,61
195,5,41,44
196,2,41,44
197,3,42,36
198,3,42,36
199,5,43,11
200,2,43,11
201,3,44,66
202,3,44,66
203,2,44,66
204,5,45,94
205,5,45,49
206,5,45,6
207,5,45,49
208,4,45,6
209,3,45,94
210,3,45,6
211,5,46,78
212,3,46,78
213,3,46,95
214,3,46,78
215,5,47,46
216,3,47,46
217,2,47,46
218,2,47,46
219,5,48,20
220,5,48,70
221,4,48,70
222,3,48,20
223,3,48,70
224,3,48,20
225,2,48,97
226,2,48,97
227,2,49,96
228,2,49,96
229,3,50,2
230,3,50,2
231,5,51,59
232,3,51,59
233,2,52,4
234,2,52,4
235,5,53,47
236,4,53,86
237,2,53,47
238,2,53,47
239,2,54,9
240,2,54,9
241,4,55,23
242,3,55,82
243,3,55,82
244,2,55,82
245,2,55,82
246,3,56,3
247,3,56,3
248,5,57,56
249,4,57,75
250,3,57,75
251,2,57,56
252,2,57,56
253,4,58,30
254,3,58,30
255,2,58,30
256,2,58,30
257,3,59,91
258,2,59,91
259,4,60,7
260,3,60,7
261,3,60,35
262,2,60,7
263,2,60,7
264,3,61,39
265,2,61,39
266,5,62,1
267,3,62,1
268,3,62,4
269,2,62,4
270,2,62,1
271,4,63,96
272,4,63,96
273,2,64,25
274,2,64,25
275,2,64,25
276,2,64,25
277,5,65,54
278,5,65,54
279,4,65,73
280,4,65,73
281,3,65,56
282,2,65,54
283,2,65,73
284,2,65,73
285,3,66,38
286,2,66,38
287,2,66,38
288,2,66,38
289,5,67,89
290,2,67,89
291,5,68,87
292,4,68,33
293,3,68,87
294,3,68,33
295,3,68,87
296,3,68,33
297,2,68,33
298,5,69,83
299,3,69,0
300,3,69,83
301,2,69,0
302,3,70,45
303,3,70,45
304,2,70,45
305,2,70,45
306,2,70,45
307,3,71,99
308,2,71,99
309,3,72,95
310,3,72,95
311,4,73,93
312,3,73,93
313,2,73,93
314,2,73,97
315,2,73,97
316,2,73,97
317,5,74,98
318,5,74,44
319,3,74,98
320,2,74,98
321,5,75,29
322,3,75,15
323,3,75,15
324,3,75,29
325,2,75,15
326,2,75,15
327,2,75,15
328,2,76,35
329,2,76,35
330,2,76,35
331,4,77,27
332,3,77,27
