PRN Index,PRN VRAM,PRN Type,GPU Index
0,5,0,19
1,5,0,19
2,3,0,50
3,2,1,92
4,2,1,92
5,2,1,92
6,4,2,52
7,3,2,24
8,3,2,24
9,2,2,24
10,2,2,24
11,2,2,24
12,2,3,96
13,2,3,96
14,5,4,86
15,3,4,48
16,2,4,48
17,2,4,48
18,2,4,48
19,2,4,48
20,4,5,73
21,3,5,73
22,2,5,73
23,5,6,54
24,3,6,54
25,3,6,54
26,3,6,7
27,2,6,7
28,2,6,7
29,3,7,14
30,3,7,14
31,5,8,25
32,4,8,25
33,3,8,58
34,3,8,58
35,3,8,25
36,2,8,58
37,2,8,58
38,4,9,30
39,4,9,30
40,3,9,30
41,3,9,75
42,2,9,75
43,2,9,75
44,2,9,75
45,2,9,75
46,5,10,72
47,3,10,72
48,2,10,72
49,2,10,72
50,5,11,83
51,4,11,90
52,3,11,83
53,2,11,90
54,2,11,83
55,2,11,83
56,3,12,97
57,3,12,97
58,3,12,57
59,2,12,97
60,2,12,97
61,2,12,57
62,2,12,57
63,2,12,97
64,5,13,43
65,4,13,70
66,3,13,43
67,3,13,70
68,2,13,43
69,2,13,43
70,5,14,67
71,4,14,26
72,3,14,26
73,3,14,67
74,3,14,67
75,3,14,26
76,5,15,20
77,3,15,20
78,3,15,39
79,3,15,39
80,2,15,20
81,2,15,20
82,2,15,39
83,2,16,47
84,2,16,47
85,5,17,63
86,4,17,53
87,3,17,63
88,3,17,63
89,5,18,65
90,5,18,60
91,3,18,65
92,3,18,65
93,3,18,60
94,2,18,60
95,3,19,6
96,2,19,6
97,5,20,51
98,4,20,51
99,3,20,4
100,3,20,51
101,3,20,4
102,2,20,4
103,2,20,4
104,2,20,4
105,3,21,70
106,2,21,70
107,4,22,23
108,3,22,23
109,2,22,23
110,4,23,56
111,2,23,56
112,2,23,56
113,2,23,56
114,2,23,56
115,4,24,8
116,3,24,8
117,2,24,8
118,2,24,8
119,4,25,44
120,2,25,44
121,5,26,87
122,4,26,87
123,2,26,87
124,5,27,76
125,5,27,66
126,3,27,66
127,2,27,66
128,4,28,79
129,3,28,79
130,2,28,79
131,4,29,64
132,3,29,64
133,5,30,3
134,5,30,3
135,4,30,90
136,3,30,47
137,3,30,47
138,2,30,3
139,2,30,90
140,2,30,47
141,3,31,15
142,3,31,15
143,3,31,15
144,3,31,15
145,5,32,0
146,5,32,0
147,2,32,29
148,2,32,29
149,2,32,29
150,2,32,29
151,2,32,0
152,5,33,45
153,4,33,45
154,3,33,9
155,3,33,9
156,5,34,38
157,2,34,38
158,2,34,38
159,4,35,80
160,3,35,80
161,5,36,82
162,5,36,82
163,2,36,82
164,5,37,76
165,2,37,76
166,5,38,71
167,4,38,42
168,4,38,71
169,3,38,42
170,3,38,42
171,2,38,42
172,2,38,71
173,5,39,22
174,4,39,92
175,3,39,22
176,2,39,22
177,4,40,31
178,3,40,31
179,3,40,31
180,2,40,31
181,2,41,13
182,2,41,13
183,2,41,13
184,2,41,13
185,2,42,84
186,2,42,84
187,5,43,12
188,4,43,27
189,3,43,12
190,3,43,27
191,2,43,12
192,2,43,27
193,2,43,12
194,3,44,52
195,2,44,52
196,5,45,96
197,4,45,77
198,3,45,77
199,3,45,77
200,2,45,96
201,2,45,77
202,5,46,98
203,3,46,98
204,2,46,98
205,5,47,34
206,3,47,34
207,2,47,36
208,2,47,34
209,2,47,34
210,3,48,11
211,3,48,11
212,4,49,5
213,3,49,5
214,2,49,5
215,5,50,18
216,2,50,18
217,2,50,18
218,2,51,94
219,2,51,94
220,2,51,94
221,5,52,46
222,5,52,46
223,4,52,40
224,3,52,40
225,2,52,40
226,4,53,32
227,2,53,32
228,3,54,88
229,3,54,88
230,3,54,88
231,3,54,88
232,5,55,95
233,4,55,68
234,3,55,68
235,3,55,95
236,2,55,95
237,2,55,68
238,2,55,95
239,4,56,41
240,4,56,49
241,3,56,41
242,3,56,41
243,2,56,41
244,2,56,49
245,5,57,62
246,5,57,6
247,4,57,62
248,2,57,62
249,2,57,6
250,4,58,10
251,2,58,10
252,2,58,10
253,3,59,85
254,2,59,85
255,2,59,85
256,4,60,93
257,3,60,93
258,3,60,93
259,3,61,2
260,2,61,2
261,3,62,49
262,3,62,49
263,5,63,33
264,3,63,86
265,3,63,33
266,2,63,33
267,2,63,86
268,2,63,33
269,5,64,28
270,5,64,35
271,3,64,28
272,2,64,35
273,4,65,9
274,2,65,9
275,3,66,16
276,2,66,16
277,2,66,16
278,4,67,61
279,2,67,61
280,2,67,61
281,2,67,61
282,5,68,78
283,3,68,1
284,3,68,1
285,3,68,78
286,2,68,78
287,2,68,1
288,2,68,1
289,3,69,57
290,2,69,57
291,4,70,69
292,3,70,69
293,3,70,37
294,3,70,37
295,3,70,37
296,3,70,69
297,2,70,37
298,2,70,69
299,5,71,21
300,4,71,21
301,3,71,21
302,3,71,50
303,2,71,50
304,3,72,81
305,2,72,81
306,5,73,81
307,5,73,89
308,5,73,89
309,2,73,81
310,5,74,53
311,3,74,53
312,4,75,17
313,3,75,17
314,3,75,17
315,2,76,36
316,2,76,36
317,5,77,74
318,5,77,55
319,4,77,55
320,3,77,74
321,3,77,55
322,2,77,74
323,5,78,7
324,3,78,59
325,2,78,59
326,2,78,59
327,2,78,59
328,2,78,59
329,4,79,91
330,3,79,91
331,2,79,91
332,5,80,99
333,5,80,35
334,5,80,99
335,2,80,99
