PRN Index,PRN VRAM,PRN Type,GPU Index
0,100,0,141
1,100,0,156
2,100,0,134
3,100,0,248
4,100,0,285
5,99,0,293
6,99,0,243
7,99,0,166
8,98,0,178
9,97,0,48
10,97,0,145
11,96,0,147
12,95,0,236
13,95,0,272
14,94,0,75
15,94,0,78
16,93,0,179
17,93,0,180
18,93,0,98
19,92,0,210
20,92,0,231
21,92,0,280
22,91,0,41
23,91,0,278
24,91,0,208
25,91,0,234
26,90,0,106
27,90,0,225
28,89,0,177
29,89,0,116
30,89,0,157
31,89,0,99
32,88,0,194
33,88,0,214
34,88,0,104
35,87,0,269
36,87,0,173
37,87,0,267
38,86,0,279
39,86,0,202
40,85,0,262
41,85,0,249
42,85,0,73
43,84,0,55
44,84,0,90
45,84,0,247
46,83,0,170
47,83,0,228
48,83,0,169
49,82,0,237
50,81,0,233
51,80,0,182
52,80,0,191
53,79,0,70
54,79,0,290
55,79,0,206
56,78,0,186
57,78,0,124
58,77,0,256
59,77,0,181
60,77,0,183
61,76,0,212
62,76,0,289
63,75,0,261
64,74,0,146
65,73,0,77
66,73,0,292
67,72,0,273
68,72,0,125
69,72,0,255
70,72,0,138
71,72,0,165
72,72,0,127
73,72,0,186
74,72,0,224
75,71,0,244
76,71,0,70
77,71,0,72
78,71,0,188
79,70,0,191
80,70,0,206
81,70,0,251
82,70,0,283
83,69,0,100
84,69,0,158
85,69,0,152
86,69,0,129
87,68,0,124
88,68,0,85
89,68,0,256
90,68,0,142
91,66,0,139
92,66,0,64
93,66,0,90
94,66,0,204
95,66,0,87
96,66,0,81
97,65,0,196
98,65,0,94
99,65,0,71
100,65,0,193
101,65,0,196
102,64,0,201
103,64,0,151
104,64,0,68
105,64,0,164
106,64,0,153
107,64,0,87
108,64,0,47
109,63,0,289
110,62,0,136
111,61,0,177
112,61,0,116
113,61,0,99
114,60,0,199
115,60,0,106
116,59,0,157
117,59,0,104
118,58,0,280
119,57,0,179
120,57,0,111
121,57,0,173
122,57,0,228
123,57,0,231
124,57,0,143
125,56,0,207
126,56,0,181
127,56,0,182
128,56,0,250
129,56,0,151
130,55,0,236
131,55,0,216
132,55,0,272
133,54,0,78
134,54,0,143
135,52,0,131
136,52,0,48
137,51,0,293
138,50,0,55
139,50,0,141
140,49,0,98
141,49,0,166
142,48,0,214
143,48,0,74
144,48,0,53
145,48,0,249
146,48,0,243
147,47,0,290
148,47,0,285
149,47,0,237
150,47,0,74
151,46,0,156
152,46,0,194
